steamLink,title_en,title_zh,title_ja,price,bargain_price,game_type
https://store.steampowered.com/app/3491350/_/,Seeker Tactics,逐墨,シーカータクティクス,,,
https://store.steampowered.com/app/2741060/_Vampires_and_Afternoon_Tea/,Vampires and Afternoon Tea,吸血鬼与下午茶 Vampires and Afternoon Tea,吸血鬼与下午茶 Vampires and Afternoon Tea,,,
https://store.steampowered.com/app/2133830/BrokenLore_UNFOLLOW/,BrokenLore: UNFOLLOW,破碎怪談：惡意取關,BrokenLore: UNFOLLOW,,,
https://store.steampowered.com/app/2351330/,BrokenLore: DON'T WATCH,破碎怪談：切勿直視,BrokenLore: DON'T WATCH,,,
https://store.steampowered.com/app/3014520/,BrokenLore: LOW,破碎怪談：霧雨村,BrokenLore: LOW | 霧雨村,,,
https://store.steampowered.com/app/2846530/,BrokenLore: FOLLOW,破碎怪談：惡意關注,BrokenLore: FOLLOW,,,
https://store.steampowered.com/app/2878760/KILL_THE_WITCH/,KILL THE WITCH,KILL THE WITCH,KILL THE WITCH,,,
https://store.steampowered.com/app/3180610/Eternal_Glory/,Eternal Glory,Eternal Glory,Eternal Glory,,,
https://store.steampowered.com/app/2922140/_PSYCHExFUSE/,PSYCHExFUSE,PSYCHExFUSE,PSYCHExFUSE,,,
https://store.steampowered.com/app/2388920/_Soulers/,Soulers,Soulers,Soulers,,,
https://store.steampowered.com/app/3282860/ExistEXE/,Exist.EXE,Exist.EXE,Exist.EXE,,,
https://store.steampowered.com/app/2073450/A2CAyry_seems_to_be_playtesting_a_2D_runner_shooter_from_Cci/,A2C:Ayry seems to be playtesting a 2D runner shooter from Cci,A2C:Ayry 似乎在測試 Cci 的 2D 跑酷射擊遊戲,A2C:Ayry seems to be playtesting a 2D runner shooter from Cci,,,
https://store.steampowered.com/app/3108780/Warrior_Architects/?l=tchinese,Warrior Architects,Warrior Architects,Warrior Architects,,,
https://store.steampowered.com/app/3308560/_/,"GuGu Pizza : Delivering Pizza to the Space Station? Boss, this is just not right!",咕咕披薩：送披薩到太空站？老闆，這不對啊！,グーグーピザ：ピザを宇宙ステーションに配達するって？店長、それはちょっと無理じゃないですか！?,,,
https://store.steampowered.com/app/3282210/The_Fire_Nobody_Started/,The Fire Nobody Started,The Fire Nobody Started,The Fire Nobody Started,,,
https://store.steampowered.com/app/2399080/Idle_Catfarmia,Idle Catfarmia,Idle Catfarmia,Idle Catfarmia,,,
https://store.steampowered.com/app/1904040/Fantasy_Fishing_Town/,Fantasy Fishing Town,Fantasy Fishing Town,Fantasy Fishing Town,,,
https://store.steampowered.com/app/2686820/_/,isekizima: Ruins and Tails Journey,isekizima: Ruins and Tails Journey,遺跡島と旅するねこまた,,,
https://store.steampowered.com/app/2057840/BEAT_AIMER/,BEAT AIMER!,BEAT AIMER!,BEAT AIMER!,,,
https://store.steampowered.com/app/3012170/commentator/,コメンテーター,コメンテーター,コメンテーター,,,
https://store.steampowered.com/app/3129790/Pocket_Legend__Inventory_Roguelike_Deckbuilding/,Pocket Legend : Inventory Roguelike Deckbuilding,Pocket Legend : Inventory Roguelike Deckbuilding,Pocket Legend : Inventory Roguelike Deckbuilding,,,
https://store.steampowered.com/app/2164490/Emberfate_Tempest_of_Elements/,Emberfate: Tempest of Elements,Emberfate: Tempest of Elements,Emberfate: Tempest of Elements,,,
https://store.steampowered.com/app/1520740/Reanimation_Scheme/,Reanimation Scheme,Reanimation Scheme,Reanimation Scheme,,,
https://store.steampowered.com/app/3163740/Jet_Scalawag_The_King_of_Shooters/,Jet Scalawag: The King of Shooters,Jet Scalawag: The King of Shooters,Jet Scalawag: The King of Shooters,,,
https://store.steampowered.com/app/3147690/_/,Neverland永无乡,Neverland永无乡,Neverland永无乡,,,
https://store.steampowered.com/app/2439760/_Love_Yuri/,要来点百合吗 Love Yuri,要来点百合吗 Love Yuri,要来点百合吗 Love Yuri,,,
https://store.steampowered.com/app/2234600/_/,See You Later,See You Later,sayonara,,,
https://store.steampowered.com/app/3081240/_/,Salvation:Immortale,少女怪奇事件簿:永生,少女奇譚集: 不朽,,,
https://store.steampowered.com/app/3391150/_Wandering_Dreams_of_Yuri/,百禾梦境漫游 Wandering Dreams of Yuri,百禾梦境漫游 Wandering Dreams of Yuri,百禾梦境漫游 Wandering Dreams of Yuri,,,
https://store.steampowered.com/app/2415000/BLACKOUT/,BLACKOUT,BLACKOUT,BLACKOUT,,,
https://store.steampowered.com/app/2881370/_/,Thank You For Your Application,感謝你的投遞,ご応募ありがとうございます,,,
https://store.steampowered.com/app/2947650/Choppy_Cuts/,Choppy Cuts,亂剪一通,チョッピー カット,,,
https://store.steampowered.com/app/1864830/_/,Emblem of Valor,英勇紋章,勇気の紋章,,,
https://store.steampowered.com/app/2167600/Star_Rabbits/,Star Rabbits,Star Rabbits,Star Rabbits,,,
https://store.steampowered.com/app/2544570/LumineNight/,LumineNight,LumineNight,LumineNight,,,
https://store.steampowered.com/app/2400640/NanoApostle/,NanoApostle,奈米使徒計劃,ナノアポスル,,,
https://store.steampowered.com/app/2078040/White_Day_2_The_Flower_That_Tells_Lies__Complete_Edition/,White Day 2: The Flower That Tells Lies - Complete Edition,White Day 2: The Flower That Tells Lies - Complete Edition,White Day 2: The Flower That Tells Lies - Complete Edition,,,
https://store.steampowered.com/app/1922960/Labyrinth_of_Zangetsu/,Labyrinth of Zangetsu,殘月之鎖宮 -Labyrinth of Zangetsu-,残月の鎖宮 -Labyrinth of Zangetsu-,,,
https://store.steampowered.com/app/1453640/Valthirian_Arc_Hero_School_Story_2/,Valthirian Arc: Hero School Story 2,Valthirian Arc: Hero School Story 2,ヴァルシリア アーク　ヒーロースクールストーリー２,,,
https://store.steampowered.com/app/715680/Knight_vs_Giant_The_Broken_Excalibur/,Knight vs Giant: The Broken Excalibur,Knight vs Giant: The Broken Excalibur,Knight vs Giant: アーサー王と壊れた聖剣,,,
https://store.steampowered.com/app/2349140/KONOSUBA__Gods_Blessing_on_this_Wonderful_World_Love_For_These_Clothes_Of_Desire/,KONOSUBA - God's Blessing on this Wonderful World! Love For These Clothes Of Desire!,KONOSUBA - God's Blessing on this Wonderful World! Love For These Clothes Of Desire!,この素晴らしい世界に祝福を！　この欲望の衣装に寵愛を！,,,
https://store.steampowered.com/app/2195780/Class_of_Heroes_Anniversary_Edition,Class of Heroes: Anniversary Edition,Class of Heroes: Anniversary Edition,剣と魔法と学園モノ。Anniversary Edition,,,
https://store.steampowered.com/app/2195790/Class_of_Heroes_2G_Remaster_Edition/,Class of Heroes 2G: Remaster Edition,Class of Heroes 2G: Remaster Edition,剣と魔法と学園モノ。2G Remaster Edition,,,
https://store.steampowered.com/app/2331330/The_Bridge_Curse_2_The_Extrication/,The Bridge Curse 2: The Extrication,女鬼橋二  釋魂路,女鬼橋2 釈魂路,,,
https://store.steampowered.com/app/2349030/BPROJECT_RYUSEIFANTASIA/,B-PROJECT RYUSEI*FANTASIA,B-PROJECT 流星*幻想曲,B-PROJECT 流星＊ファンタジア,,,
https://store.steampowered.com/app/2791850/Celestia_Chain_of_Fate/,Celestia: Chain of Fate,賽萊斯蒂亞：命運之鏈,Celestia: Chain of Fate,,,
https://store.steampowered.com/app/2838360/SINce_Memories_Off_The_Starry_Sky/,SINce Memories: Off The Starry Sky,SINce Memories 星穹之下 數位版,シンスメモリーズ 星天の下で,,,
https://store.steampowered.com/app/2497670/Genso_Mange/,Genso Manège,Genso Manège,幻想マネージュ,,,
https://store.steampowered.com/app/3197720/Him_the_Smile__bloom/,"Him, the Smile ＆ bloom","Him, the Smile ＆ bloom",花笑む彼と ＆ bloom,,,
https://store.steampowered.com/app/1662160/Kpop_Idol_Stories_Road_to_Debut/,K-pop Idol Stories: Road to Debut,K-pop Idol Stories: Road to Debut,K-pop Idol Stories: Road to Debut,,,
https://store.steampowered.com/app/3026310/BUSTAFELLOWS_season2/,BUSTAFELLOWS season2,BUSTAFELLOWS season2,BUSTAFELLOWS season2,,,
https://store.steampowered.com/app/3301820/Class_of_Heroes_3_Remaster/,Class of Heroes 3 Remaster,Class of Heroes 3 Remaster,剣と魔法と学園モノ。3 Remaster,,,
https://store.steampowered.com/app/3197710/Iwakura_Aria/,Iwakura Aria,Iwakura Aria,岩倉アリア,,,
https://store.steampowered.com/app/1286280/_/,Pronty,棄海,棄海：忘れられた深海都市,,,
https://store.steampowered.com/app/1549600/Complex_SKY/,Complex SKY,Complex SKY,Complex SKY,,,
https://store.steampowered.com/app/3353800/Golden_Swirl/,Golden Swirl,黃金星漩,Golden Swirl,,,
https://store.steampowered.com/app/3218570/TANUKI_Pons_Summer/,TANUKI: Pon's Summer,TANUKI: Pon's Summer,TANUKI: Pon's Summer,,,
https://store.steampowered.com/app/1877650/Zero_Orders_Tactics/,Zero Orders Tactics,Zero Orders Tactics,Zero Orders Tactics,,,
https://store.steampowered.com/app/2544740/THANKS_LIGHT/,"THANKS, LIGHT.","THANKS, LIGHT.","THANKS, LIGHT.",,,
https://store.steampowered.com/app/2961120/Shop_Crush/,Shop Crush,Shop Crush,Shop Crush,,,
https://store.steampowered.com/app/3129360/Aksun/,Aksun,Aksun,Aksun,,,
https://store.steampowered.com/app/1990540/,Tongue of Dog,舔狗之路,犬の舌,,,
https://store.steampowered.com/app/2983630/,Art Diff,慧眼尋異,Art Diff,,,
https://store.steampowered.com/app/3017760/Relic_Abyss/,Relic Abyss,Relic Abyss,Relic Abyss,,,
https://store.steampowered.com/app/2763470/Kill_The_Clock/,Kill The Clock,Kill The Clock,キル・ザ・クロック,,,
https://store.steampowered.com/app/3279980/Dicey_Tales/,Dicey Tales,Dicey Tales,Dicey Tales,,,
https://store.steampowered.com/app/1355000/OffScore_A_game_of_songs/,Off-Score: A game of songs,Off-Score: A game of songs,Off-Score: A game of songs,,,
https://store.steampowered.com/app/1334500/RP7_Spin_Your_Own_Encounter/,RP7: Spin Your Own Encounter,RP7: Spin Your Own Encounter,RP7: Spin Your Own Encounter,,,
https://store.steampowered.com/app/3419220/Dungeon_Warfare_3/,Dungeon Warfare 3,Dungeon Warfare 3,Dungeon Warfare 3,,,
https://store.steampowered.com/app/3486160/,Critical Point,Critical Point,臨界点,,,
https://store.steampowered.com/app/3077640/MIGHTREYA/,MIGHTREYA,《超能蕾雅的異次元之旅》MIGHTREYA,マイトレイア,,,
https://store.steampowered.com/app/1842320/,Slayer : the Demon Haunted World,Slayer : the Demon Haunted World,Slayer : the Demon Haunted World,,,
https://store.steampowered.com/app/2389040/ShapeHero_Factory/,ShapeHero Factory,ShapeHero Factory,ShapeHero Factory / シェイプヒーローファクトリー,,,
https://store.steampowered.com/app/2468550/Vivid_World/,Vivid World,靈動世界,Vivid World / ビビッドワールド,,,
https://store.steampowered.com/app/2271930,IfSunSets,暮色降臨時,イフサンセット,,,
https://store.steampowered.com/app/1032670,FOCUS on YOU,FOCUS on YOU,FOCUS on YOU,,,
https://store.steampowered.com/app/1817940,Love Delivery,愛的傳遞,ラブデリバリー,,,
https://store.steampowered.com/app/2957700/_/,Sensei! I Like You So Much!,太太！我喜歡你！,先生、新刊三冊くださいッ！,,,
https://store.steampowered.com/app/3304430,Vasrak Kingdom: Battle on the frontier,Vasrak Kingdom: Battle on the frontier,バスラ​​ク王国: 辺境の戦い,,,
https://store.steampowered.com/app/2431790/Cyber_Paradise/,Cyber Paradise,數碼天堂,サイバーパラダイス,,,
